ts_close_iso,timeframe,symbol,btc_symbol,close_alt,close_btc,ratio,z,z_window,dp6h,dp12h,atr_ratio,qv_24h,vol_surge_mult,mom,breadth,universe_n,top_n,in_cands,pairs_signal
2025-08-12 12:48:00 UTC,1h,AVAAI-USDT,BTC-USDT,0.0361,118947.9,3.034942189e-07,,30,-0.03759,-0.031912,0.0297586,9.47625e+06,0,0,0.556818,465,4,0,HOLD
2025-08-12 12:48:00 UTC,1h,AVAX-USDT,BTC-USDT,23.594,118947.9,0.0001983557507,,30,0.0273448,0.0247123,0.0114829,5.47165e+07,0,0,0.556818,465,4,0,HOLD
2025-08-12 12:48:00 UTC,1h,AWE-USDT,BTC-USDT,0.054063,118947.9,4.545099157e-07,,30,-0.00280365,-0.00158821,0.00974392,6.44968e+06,0,0,0.556818,465,4,0,HOLD
2025-08-12 12:48:00 UTC,1h,AXL-USDT,BTC-USDT,0.348,118947.9,2.925650642e-06,,30,0.0292813,0.0151692,0.0135673,2.12828e+06,0,0,0.556818,465,4,0,HOLD
2025-08-12 12:48:00 UTC,1h,AXS-USDT,BTC-USDT,2.422,118947.9,2.03618559e-05,,30,0.0215099,0.0116959,0.0126519,5.314e+06,0,0,0.556818,465,4,0,HOLD
2025-08-12 12:48:00 UTC,1h,B-USDT,BTC-USDT,0.63667,118947.9,5.352511478e-06,,30,-0.0351877,-0.0480697,0.0159188,6.9082e+06,0,0,0.556818,465,4,0,HOLD
2025-08-12 12:48:00 UTC,1h,B2-USDT,BTC-USDT,0.3883,118947.9,3.264454438e-06,,30,-0.0053791,-0.00842697,0.014385,6.44488e+06,0,0,0.556818,465,4,0,HOLD
2025-08-12 12:48:00 UTC,1h,B3-USDT,BTC-USDT,0.003133,118947.9,2.633926282e-08,,30,0.0333113,0.0158885,0.0160275,6.52432e+06,0,0,0.556818,465,4,0,HOLD
2025-08-12 12:48:00 UTC,1h,BABY-USDT,BTC-USDT,0.06058,118947.9,5.092986089e-07,,30,0.0149104,-0.000989446,0.0152337,6.6417e+06,0,0,0.556818,465,4,0,HOLD
2025-08-12 12:48:00 UTC,1h,BAKE-USDT,BTC-USDT,0.085,118947.9,7.145985764e-07,,30,0.022864,0.00472813,0.0154622,1.48085e+06,0,0,0.556818,465,4,0,HOLD
