ts,param,value,equity_end,profit_factor,max_dd,monotonicity,trades,elapsed_sec,yaml
2025-08-24T13:46:08,tp|sl|min-mom|min-atr|position_notional|top-n,3.73|1.04|0.0|0.0002|120.0|8.0,125.691725,1.111464,-0.284083,0.05279,124,28.836737871170044,tune_tmp/t2880_s8_grid_grid_3p73_1p04_0p0_0p0002_120p0_8p0.yaml
2025-08-24T13:46:36,tp|sl|min-mom|min-atr|position_notional|top-n,3.73|1.04|0.0|0.0002|120.0|10.0,125.691725,1.111464,-0.284083,0.05279,124,28.29037880897522,tune_tmp/t2880_s8_grid_grid_3p73_1p04_0p0_0p0002_120p0_10p0.yaml
2025-08-24T13:47:05,tp|sl|min-mom|min-atr|position_notional|top-n,3.73|1.04|0.0|0.0002|120.0|12.0,125.691725,1.111464,-0.284083,0.05279,124,28.350093603134155,tune_tmp/t2880_s8_grid_grid_3p73_1p04_0p0_0p0002_120p0_12p0.yaml
2025-08-24T13:47:32,tp|sl|min-mom|min-atr|position_notional|top-n,3.73|1.04|0.0|0.0002|130.0|8.0,127.832702,1.111464,-0.297821,0.05279,124,26.68830704689026,tune_tmp/t2880_s8_grid_grid_3p73_1p04_0p0_0p0002_130p0_8p0.yaml
2025-08-24T13:47:58,tp|sl|min-mom|min-atr|position_notional|top-n,3.73|1.04|0.0|0.0002|130.0|10.0,127.832702,1.111464,-0.297821,0.05279,124,26.469026803970337,tune_tmp/t2880_s8_grid_grid_3p73_1p04_0p0_0p0002_130p0_10p0.yaml
2025-08-24T13:48:27,tp|sl|min-mom|min-atr|position_notional|top-n,3.73|1.04|0.0|0.0002|130.0|12.0,127.832702,1.111464,-0.297821,0.05279,124,28.54977560043335,tune_tmp/t2880_s8_grid_grid_3p73_1p04_0p0_0p0002_130p0_12p0.yaml
2025-08-24T13:48:50,tp|sl|min-mom|min-atr|position_notional|top-n,3.73|1.04|0.0|0.0002|140.0|8.0,129.97368,1.111464,-0.310699,0.05279,124,23.724833011627197,tune_tmp/t2880_s8_grid_grid_3p73_1p04_0p0_0p0002_140p0_8p0.yaml
2025-08-24T13:49:15,tp|sl|min-mom|min-atr|position_notional|top-n,3.73|1.04|0.0|0.0002|140.0|10.0,129.97368,1.111464,-0.310699,0.05279,124,24.586395025253296,tune_tmp/t2880_s8_grid_grid_3p73_1p04_0p0_0p0002_140p0_10p0.yaml
2025-08-24T13:49:40,tp|sl|min-mom|min-atr|position_notional|top-n,3.73|1.04|0.0|0.0002|140.0|12.0,129.97368,1.111464,-0.310699,0.05279,124,25.382574319839478,tune_tmp/t2880_s8_grid_grid_3p73_1p04_0p0_0p0002_140p0_12p0.yaml
2025-08-24T13:50:08,tp|sl|min-mom|min-atr|position_notional|top-n,3.73|1.04|0.001|0.0|120.0|8.0,125.691725,1.111464,-0.284083,0.05279,124,27.352790594100952,tune_tmp/t2880_s8_grid_grid_3p73_1p04_0p001_0p0_120p0_8p0.yaml
