event,iso,notional,pnl,price,qty,ts
FULL_CLOSE_TRAIL,2026-03-02T00:22:00Z,,7.964629922301439,32.297,18.214027447634226,1772410920000
FIRST,2026-03-02T00:24:00Z,94.81844315403549,,32.63,2.905867090224808,1772411040000
DCA,2026-03-02T00:28:00Z,94.33316334996793,,32.463,2.905867090224808,1772411280000
DCA,2026-03-02T00:32:00Z,140.65849650233184,,32.27,4.358800635337212,1772411520000
DCA,2026-03-02T00:34:00Z,257.58622941234273,,32.234,7.991134498118221,1772411640000
FULL_CLOSE_TRAIL,2026-03-02T01:14:00Z,,4.51063219080144,32.591,18.161669313905048,1772414040000
FIRST,2026-03-02T01:16:00Z,95.44580004080146,,32.58,2.9295825672437528,1772414160000
DCA,2026-03-02T01:18:00Z,94.79543271087334,,32.358,2.9295825672437528,1772414280000
DCA,2026-03-02T01:18:00Z,142.19314906631,,32.358,4.394373850865629,1772414280000
DCA,2026-03-02T01:22:00Z,258.8425353331799,,32.129,8.05635205992032,1772414520000
FULL_CLOSE_TRAIL,2026-03-02T15:50:00Z,,3.4283439993169895,32.48,18.309891045273453,1772466600000
FIRST,2026-03-02T15:52:00Z,95.89945650642805,,32.466,2.9538426817725636,1772466720000
DCA,2026-03-02T15:54:00Z,94.86265772512589,,32.115,2.9538426817725636,1772466840000
DCA,2026-03-02T15:54:00Z,142.29398658768883,,32.115,4.430764022658845,1772466840000
DCA,2026-03-02T16:00:00Z,260.59612445335046,,32.081,8.12306737487455,1772467200000
FULL_CLOSE_TRAIL,2026-03-02T16:06:00Z,,3.7255340823855474,32.358,18.46151676107852,1772467560000
FIRST,2026-03-02T16:08:00Z,96.40025956083954,,32.285,2.9859148075217457,1772467680000
FULL_CLOSE_TRAIL,2026-03-02T16:18:00Z,,1.934872795274101,32.933,2.9859148075217457,1772468280000
FIRST,2026-03-02T16:20:00Z,96.69426037673006,,32.896,2.939392642775111,1772468400000
FULL_CLOSE_TRAIL,2026-03-02T16:24:00Z,,1.2080903761805748,33.307,2.939392642775111,1772468640000
FIRST,2026-03-02T16:26:00Z,96.87198710802858,,33.265,2.912129478672135,1772468760000
