ts,param,value,equity_end,profit_factor,max_dd,monotonicity,trades,elapsed_sec,yaml
2025-08-24T21:56:30,tp|sl|min-mom|min-atr|position_notional|top-n,3.45|1.04|0.001|0.0002|90.0|10.0,-5.840256,0.798578,-1.041696,-0.11199,270,35.99561429023743,tune_tmp/t5m5000_s8_grid_grid_3p45_1p04_0p001_0p0002_90p0_10p0.yaml
2025-08-24T21:57:07,tp|sl|min-mom|min-atr|position_notional|top-n,3.45|1.06|0.0|0.0|70.0|6.0,55.967388,0.901501,-0.659856,-0.051801,315,36.70750904083252,tune_tmp/t5m5000_s8_grid_grid_3p45_1p06_0p0_0p0_70p0_6p0.yaml
2025-08-24T21:57:41,tp|sl|min-mom|min-atr|position_notional|top-n,3.45|1.06|0.0|0.0|70.0|8.0,55.967388,0.901501,-0.659856,-0.051801,315,34.0605263710022,tune_tmp/t5m5000_s8_grid_grid_3p45_1p06_0p0_0p0_70p0_8p0.yaml
2025-08-24T21:58:15,tp|sl|min-mom|min-atr|position_notional|top-n,3.45|1.06|0.0|0.0|70.0|10.0,55.967388,0.901501,-0.659856,-0.051801,315,34.24380397796631,tune_tmp/t5m5000_s8_grid_grid_3p45_1p06_0p0_0p0_70p0_10p0.yaml
2025-08-24T21:58:50,tp|sl|min-mom|min-atr|position_notional|top-n,3.45|1.06|0.0|0.0|80.0|6.0,63.853545,0.927905,-0.653923,-0.037396,312,34.54253530502319,tune_tmp/t5m5000_s8_grid_grid_3p45_1p06_0p0_0p0_80p0_6p0.yaml
2025-08-24T21:59:27,tp|sl|min-mom|min-atr|position_notional|top-n,3.45|1.06|0.0|0.0|80.0|8.0,63.853545,0.927905,-0.653923,-0.037396,312,37.524826765060425,tune_tmp/t5m5000_s8_grid_grid_3p45_1p06_0p0_0p0_80p0_8p0.yaml
2025-08-24T22:00:09,tp|sl|min-mom|min-atr|position_notional|top-n,3.45|1.06|0.0|0.0|80.0|10.0,63.853545,0.927905,-0.653923,-0.037396,312,42.090336322784424,tune_tmp/t5m5000_s8_grid_grid_3p45_1p06_0p0_0p0_80p0_10p0.yaml
2025-08-24T22:00:58,tp|sl|min-mom|min-atr|position_notional|top-n,3.45|1.06|0.0|0.0|90.0|6.0,50.661168,0.910604,-0.740293,-0.04679,299,48.21723508834839,tune_tmp/t5m5000_s8_grid_grid_3p45_1p06_0p0_0p0_90p0_6p0.yaml
2025-08-24T22:01:47,tp|sl|min-mom|min-atr|position_notional|top-n,3.45|1.06|0.0|0.0|90.0|8.0,50.661168,0.910604,-0.740293,-0.04679,299,49.61628532409668,tune_tmp/t5m5000_s8_grid_grid_3p45_1p06_0p0_0p0_90p0_8p0.yaml
2025-08-24T22:02:33,tp|sl|min-mom|min-atr|position_notional|top-n,3.45|1.06|0.0|0.0|90.0|10.0,50.661168,0.910604,-0.740293,-0.04679,299,45.36447811126709,tune_tmp/t5m5000_s8_grid_grid_3p45_1p06_0p0_0p0_90p0_10p0.yaml
2025-08-24T22:03:13,tp|sl|min-mom|min-atr|position_notional|top-n,3.45|1.06|0.0|0.0002|70.0|6.0,55.967388,0.901501,-0.659856,-0.051801,315,40.30983066558838,tune_tmp/t5m5000_s8_grid_grid_3p45_1p06_0p0_0p0002_70p0_6p0.yaml
2025-08-24T22:03:53,tp|sl|min-mom|min-atr|position_notional|top-n,3.45|1.06|0.0|0.0002|70.0|8.0,55.967388,0.901501,-0.659856,-0.051801,315,40.28527522087097,tune_tmp/t5m5000_s8_grid_grid_3p45_1p06_0p0_0p0002_70p0_8p0.yaml
2025-08-24T22:04:33,tp|sl|min-mom|min-atr|position_notional|top-n,3.45|1.06|0.0|0.0002|70.0|10.0,55.967388,0.901501,-0.659856,-0.051801,315,40.17492723464966,tune_tmp/t5m5000_s8_grid_grid_3p45_1p06_0p0_0p0002_70p0_10p0.yaml
2025-08-24T22:05:12,tp|sl|min-mom|min-atr|position_notional|top-n,3.45|1.06|0.0|0.0002|80.0|6.0,63.853545,0.927905,-0.653923,-0.037396,312,38.438132762908936,tune_tmp/t5m5000_s8_grid_grid_3p45_1p06_0p0_0p0002_80p0_6p0.yaml
2025-08-24T22:05:48,tp|sl|min-mom|min-atr|position_notional|top-n,3.45|1.06|0.0|0.0002|80.0|8.0,63.853545,0.927905,-0.653923,-0.037396,312,36.415127754211426,tune_tmp/t5m5000_s8_grid_grid_3p45_1p06_0p0_0p0002_80p0_8p0.yaml
2025-08-24T22:06:27,tp|sl|min-mom|min-atr|position_notional|top-n,3.45|1.06|0.0|0.0002|80.0|10.0,63.853545,0.927905,-0.653923,-0.037396,312,38.507861375808716,tune_tmp/t5m5000_s8_grid_grid_3p45_1p06_0p0_0p0002_80p0_10p0.yaml
2025-08-24T22:07:01,tp|sl|min-mom|min-atr|position_notional|top-n,3.45|1.06|0.0|0.0002|90.0|6.0,50.661168,0.910604,-0.740293,-0.04679,299,34.65686058998108,tune_tmp/t5m5000_s8_grid_grid_3p45_1p06_0p0_0p0002_90p0_6p0.yaml
2025-08-24T22:07:40,tp|sl|min-mom|min-atr|position_notional|top-n,3.45|1.06|0.0|0.0002|90.0|8.0,50.661168,0.910604,-0.740293,-0.04679,299,38.77376103401184,tune_tmp/t5m5000_s8_grid_grid_3p45_1p06_0p0_0p0002_90p0_8p0.yaml
