error,elapsed_sec,score,param,value,stage_idx,stage_mode
"ValueError(""could not convert string to float: ''"")",0.07007551193237305,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.37|0.024999999999999994|0.017115|16.0,11,grid
"ValueError(""could not convert string to float: ''"")",0.04311704635620117,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.37|0.024999999999999994|0.024614999999999998|8.0,11,grid
"ValueError(""could not convert string to float: ''"")",0.000530242919921875,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.37|0.024999999999999994|0.024614999999999998|12.0,11,grid
"ValueError(""could not convert string to float: ''"")",0.00021314620971679688,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.37|0.024999999999999994|0.024614999999999998|16.0,11,grid
"ValueError(""could not convert string to float: ''"")",0.00018739700317382812,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.37|0.024999999999999994|0.032115|8.0,11,grid
"ValueError(""could not convert string to float: ''"")",0.00010442733764648438,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.37|0.024999999999999994|0.032115|12.0,11,grid
"ValueError(""could not convert string to float: ''"")",9.584426879882812e-05,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.37|0.024999999999999994|0.032115|16.0,11,grid
"ValueError(""could not convert string to float: ''"")",0.00010991096496582031,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.37|0.0375|0.017115|8.0,11,grid
"ValueError(""could not convert string to float: ''"")",0.00010037422180175781,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.37|0.0375|0.017115|12.0,11,grid
"ValueError(""could not convert string to float: ''"")",9.751319885253906e-05,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.37|0.0375|0.017115|16.0,11,grid
"ValueError(""could not convert string to float: ''"")",9.584426879882812e-05,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.37|0.0375|0.024614999999999998|8.0,11,grid
"ValueError(""could not convert string to float: ''"")",0.00011610984802246094,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.37|0.0375|0.024614999999999998|12.0,11,grid
"ValueError(""could not convert string to float: ''"")",0.00012636184692382812,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.37|0.0375|0.024614999999999998|16.0,11,grid
"ValueError(""could not convert string to float: ''"")",8.606910705566406e-05,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.37|0.0375|0.032115|8.0,11,grid
"ValueError(""could not convert string to float: ''"")",0.00024008750915527344,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.37|0.0375|0.032115|12.0,11,grid
"ValueError(""could not convert string to float: ''"")",0.00035834312438964844,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.37|0.0375|0.032115|16.0,11,grid
"ValueError(""could not convert string to float: ''"")",0.004339694976806641,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.41000000000000003|0.0125|0.017115|8.0,11,grid
"ValueError(""could not convert string to float: ''"")",0.0002617835998535156,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.41000000000000003|0.0125|0.017115|12.0,11,grid
"ValueError(""could not convert string to float: ''"")",0.0001685619354248047,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.41000000000000003|0.0125|0.017115|16.0,11,grid
"ValueError(""could not convert string to float: ''"")",0.0002460479736328125,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.41000000000000003|0.0125|0.024614999999999998|8.0,11,grid
"ValueError(""could not convert string to float: ''"")",9.632110595703125e-05,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.41000000000000003|0.0125|0.024614999999999998|12.0,11,grid
"ValueError(""could not convert string to float: ''"")",8.845329284667969e-05,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.41000000000000003|0.0125|0.024614999999999998|16.0,11,grid
"ValueError(""could not convert string to float: ''"")",0.0002589225769042969,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.41000000000000003|0.0125|0.032115|8.0,11,grid
"ValueError(""could not convert string to float: ''"")",0.000194549560546875,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.41000000000000003|0.0125|0.032115|12.0,11,grid
"ValueError(""could not convert string to float: ''"")",9.34600830078125e-05,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.41000000000000003|0.0125|0.032115|16.0,11,grid
"ValueError(""could not convert string to float: ''"")",9.655952453613281e-05,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.41000000000000003|0.024999999999999994|0.017115|8.0,11,grid
"ValueError(""could not convert string to float: ''"")",0.00012922286987304688,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.41000000000000003|0.024999999999999994|0.017115|12.0,11,grid
"ValueError(""could not convert string to float: ''"")",0.0002903938293457031,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.41000000000000003|0.024999999999999994|0.017115|16.0,11,grid
"ValueError(""could not convert string to float: ''"")",0.00016927719116210938,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.41000000000000003|0.024999999999999994|0.024614999999999998|8.0,11,grid
