symbol,side,entry_time,exit_time,entry,exit,tp,sl,action,reason,gross_return,net_return,notional,fees_paid,realized_pnl
NAORIS/USDT:USDT,LONG,2025-09-10T06:57:00+00:00,2025-09-10T08:03:00+00:00,0.04026,0.04165,0.043780309335025074,0.03992557061317262,EXIT,heat<0.85,0.03452558370591163,0.02932558370591163,4.5,0.009000000000000001,0.13196512667660235
B2/USDT:USDT,LONG,2025-09-10T08:03:00+00:00,2025-09-10T08:24:00+00:00,0.4959,0.5387,0.5648534534251881,0.4959,TP_PARTIAL,TP50,0.0863077233313167,0.0811077233313167,2.25,0.0045000000000000005,0.18249237749546257
B2/USDT:USDT,LONG,2025-09-10T08:03:00+00:00,2025-09-10T08:36:00+00:00,0.4959,0.4959,0.5648534534251881,0.4959,SL,SL,0.0,-0.0052,2.25,0.0045000000000000005,-0.011699999999999999
VELVET/USDT:USDT,LONG,2025-09-10T08:36:00+00:00,2025-09-10T09:03:00+00:00,0.09801,0.10474,0.10923824726164821,0.09801,TP_PARTIAL,TP50,0.06866646260585654,0.06346646260585655,2.25,0.0045000000000000005,0.14279954086317723
HIFI/USDT:USDT,LONG,2025-09-10T07:51:00+00:00,2025-09-10T09:21:00+00:00,0.07409,0.0791,0.08410196743626028,0.07409,TP_PARTIAL,TP50,0.06762046160075584,0.062420461600755844,2.25,0.0045000000000000005,0.14044603860170066
BAKE/USDT:USDT,LONG,2025-09-10T06:09:00+00:00,2025-09-10T09:39:00+00:00,0.0921,0.1156,0.12271593397351832,0.0921,TP_PARTIAL,TP50,0.25515743756786097,0.24995743756786098,2.25,0.0045000000000000005,0.5624042345276872
VELVET/USDT:USDT,LONG,2025-09-10T08:36:00+00:00,2025-09-10T09:39:00+00:00,0.09801,0.10923824726164821,0.10923824726164821,0.09801,TP,TP,0.11456226162277537,0.10936226162277538,2.25,0.0045000000000000005,0.2460650886512446
VELVET/USDT:USDT,LONG,2025-09-10T09:39:00+00:00,2025-09-10T09:42:00+00:00,0.10984,0.10874019924846043,0.12141685001620599,0.10874019924846043,SL,SL,-0.010012752654220363,-0.015212752654220363,4.5,0.009000000000000001,-0.06845738694399163
BAKE/USDT:USDT,LONG,2025-09-10T06:09:00+00:00,2025-09-10T09:45:00+00:00,0.0921,0.12271593397351832,0.12271593397351832,0.0921,TP,TP,0.3324205643161598,0.3272205643161598,2.25,0.0045000000000000005,0.7362462697113595
HIFI/USDT:USDT,LONG,2025-09-10T07:51:00+00:00,2025-09-10T09:45:00+00:00,0.07409,0.08410196743626028,0.08410196743626028,0.07409,TP,TP,0.13513250690053008,0.12993250690053007,2.25,0.0045000000000000005,0.2923481405261927
B2/USDT:USDT,LONG,2025-09-10T09:21:00+00:00,2025-09-10T09:54:00+00:00,0.4598,0.4649,0.5106819838712842,0.454966211532228,EXIT,heat<0.85,0.011091779034362752,0.005891779034362752,4.5,0.009000000000000001,0.026513005654632382
VELVET/USDT:USDT,LONG,2025-09-10T09:42:00+00:00,2025-09-10T09:54:00+00:00,0.10864,0.11458,0.120178503586477,0.10864,TP_PARTIAL,TP50,0.05467599410898381,0.0494759941089838,2.25,0.0045000000000000005,0.11132098674521355
BAKE/USDT:USDT,LONG,2025-09-10T09:45:00+00:00,2025-09-10T10:00:00+00:00,0.1304,0.1458,0.15227150704617484,0.1304,TP_PARTIAL,TP50,0.11809815950920266,0.11289815950920266,2.25,0.0045000000000000005,0.25402085889570597
HIFI/USDT:USDT,LONG,2025-09-10T09:54:00+00:00,2025-09-10T10:06:00+00:00,0.0871,0.09225,0.09696744393183458,0.0871,TP_PARTIAL,TP50,0.059127439724454674,0.05392743972445467,2.25,0.0045000000000000005,0.12133673938002301
BSW/USDT:USDT,LONG,2025-09-10T10:00:00+00:00,2025-09-10T10:06:00+00:00,0.0206,0.02295259632534502,0.02295259632534502,0.020376503349092225,TP,TP,0.11420370511383593,0.10900370511383593,4.5,0.009000000000000001,0.4905166730122617
HIFI/USDT:USDT,LONG,2025-09-10T09:54:00+00:00,2025-09-10T10:09:00+00:00,0.0871,0.09696744393183458,0.09696744393183458,0.0871,TP,TP,0.11328867889591947,0.10808867889591947,2.25,0.0045000000000000005,0.2431995275158188
BSW/USDT:USDT,LONG,2025-09-10T10:06:00+00:00,2025-09-10T10:12:00+00:00,0.0245,0.027902799892771984,0.027902799892771984,0.024176734010186662,TP,TP,0.13888979154171358,0.13368979154171357,4.5,0.009000000000000001,0.601604061937711
HIFI/USDT:USDT,LONG,2025-09-10T10:09:00+00:00,2025-09-10T10:12:00+00:00,0.09818,0.09696863606518238,0.11093119931386972,0.09696863606518238,SL,SL,-0.012338194487855156,-0.017538194487855156,4.5,0.009000000000000001,-0.0789218751953482
HIFI/USDT:USDT,LONG,2025-09-10T10:12:00+00:00,2025-09-10T10:15:00+00:00,0.09396,0.0927032477748122,0.10718897079145044,0.0927032477748122,SL,SL,-0.013375396181223912,-0.018575396181223912,4.5,0.009000000000000001,-0.0835892828155076
BSW/USDT:USDT,LONG,2025-09-10T10:12:00+00:00,2025-09-10T10:18:00+00:00,0.02872,0.033296699907543185,0.033296699907543185,0.028285213508783397,TP,TP,0.15935584636292432,0.15415584636292431,4.5,0.009000000000000001,0.6937013086331594
BSW/USDT:USDT,LONG,2025-09-10T10:18:00+00:00,2025-09-10T10:21:00+00:00,0.03346,0.03275696981114486,0.04086031777742244,0.03275696981114486,SL,SL,-0.021011063623883244,-0.026211063623883243,4.5,0.009000000000000001,-0.1179497863074746
BAKE/USDT:USDT,LONG,2025-09-10T09:45:00+00:00,2025-09-10T10:24:00+00:00,0.1304,0.15227150704617484,0.15227150704617484,0.1304,TP,TP,0.1677262810289483,0.16252628102894828,2.25,0.0045000000000000005,0.36568413231513364
HIFI/USDT:USDT,LONG,2025-09-10T10:15:00+00:00,2025-09-10T10:24:00+00:00,0.08608,0.099,0.10210404430634684,0.08608,TP_PARTIAL,TP50,0.15009293680297398,0.14489293680297397,2.25,0.0045000000000000005,0.3260091078066914
HIFI/USDT:USDT,LONG,2025-09-10T10:15:00+00:00,2025-09-10T10:30:00+00:00,0.08608,0.10210404430634684,0.10210404430634684,0.08608,TP,TP,0.18615293106815564,0.18095293106815563,2.25,0.0045000000000000005,0.4071440949033502
BAKE/USDT:USDT,LONG,2025-09-10T10:24:00+00:00,2025-09-10T10:30:00+00:00,0.1556,0.15279484718373895,0.18512792438169506,0.15279484718373895,SL,SL,-0.0180279743975645,-0.0232279743975645,4.5,0.009000000000000001,-0.10452588478904025
BSW/USDT:USDT,LONG,2025-09-10T10:21:00+00:00,2025-09-10T10:33:00+00:00,0.03123,0.030488700538920235,0.03903315222189227,0.030488700538920235,SL,SL,-0.023736774290098156,-0.02893677429009816,4.5,0.009000000000000001,-0.13021548430544172
BAKE/USDT:USDT,LONG,2025-09-10T10:30:00+00:00,2025-09-10T10:36:00+00:00,0.1525,0.1714,0.1814562205127881,0.1525,TP_PARTIAL,TP50,0.1239344262295082,0.11873442622950821,2.25,0.0045000000000000005,0.26715245901639345
BAKE/USDT:USDT,LONG,2025-09-10T10:30:00+00:00,2025-09-10T10:39:00+00:00,0.1525,0.1814562205127881,0.1814562205127881,0.1525,TP,TP,0.18987685582156127,0.18467685582156126,2.25,0.0045000000000000005,0.41552292559851284
VELVET/USDT:USDT,LONG,2025-09-10T09:42:00+00:00,2025-09-10T10:42:00+00:00,0.10864,0.10864,0.120178503586477,0.10864,SL,SL,0.0,-0.0052,2.25,0.0045000000000000005,-0.011699999999999999
HIFI/USDT:USDT,LONG,2025-09-10T10:36:00+00:00,2025-09-10T10:42:00+00:00,0.10769,0.10563458876806023,0.12932590770462915,0.10563458876806023,SL,SL,-0.019086370433092824,-0.024286370433092827,4.5,0.009000000000000001,-0.10928866694891773
BAKE/USDT:USDT,LONG,2025-09-10T10:42:00+00:00,2025-09-10T10:45:00+00:00,0.1937,0.190188676219902,0.2306613029484002,0.190188676219902,SL,SL,-0.018127639546195274,-0.023327639546195274,4.5,0.009000000000000001,-0.10497437795787873
BSW/USDT:USDT,LONG,2025-09-10T10:33:00+00:00,2025-09-10T10:48:00+00:00,0.03001,0.02916228398303053,0.03893332649441548,0.02916228398303053,SL,SL,-0.0282477846374365,-0.0334477846374365,4.5,0.009000000000000001,-0.15051503086846424
BAKE/USDT:USDT,LONG,2025-09-10T10:45:00+00:00,2025-09-10T10:51:00+00:00,0.1884,0.213,0.22663549559494303,0.1884,TP_PARTIAL,TP50,0.1305732484076432,0.1253732484076432,2.25,0.0045000000000000005,0.28208980891719715
BSW/USDT:USDT,LONG,2025-09-10T10:48:00+00:00,2025-09-10T10:51:00+00:00,0.0276,0.02672268536084547,0.036834890938468735,0.02672268536084547,SL,SL,-0.03178676228820755,-0.036986762288207554,4.5,0.009000000000000001,-0.166440430296934
HIFI/USDT:USDT,LONG,2025-09-10T10:42:00+00:00,2025-09-10T10:57:00+00:00,0.10425,0.10209978725409274,0.12688381837797108,0.10209978725409274,SL,SL,-0.020625541927167878,-0.025825541927167878,4.5,0.009000000000000001,-0.11621493867225545
BAKE/USDT:USDT,LONG,2025-09-10T10:45:00+00:00,2025-09-10T10:57:00+00:00,0.1884,0.1884,0.22663549559494303,0.1884,SL,SL,0.0,-0.0052,2.25,0.0045000000000000005,-0.011699999999999999
BSW/USDT:USDT,LONG,2025-09-10T10:51:00+00:00,2025-09-10T11:00:00+00:00,0.0263,0.025419664977927938,0.03556668444286382,0.025419664977927938,SL,SL,-0.03347281452745484,-0.038672814527454843,4.5,0.009000000000000001,-0.1740276653735468
BAKE/USDT:USDT,LONG,2025-09-10T10:57:00+00:00,2025-09-10T11:00:00+00:00,0.1685,0.16306197805549041,0.22574233625799586,0.16306197805549041,SL,SL,-0.03227312726711927,-0.03747312726711927,4.5,0.009000000000000001,-0.16862907270203673
BAKE/USDT:USDT,LONG,2025-09-10T11:00:00+00:00,2025-09-10T11:27:00+00:00,0.162,0.194,0.22423931223956758,0.162,TP_PARTIAL,TP50,0.19753086419753085,0.19233086419753084,2.25,0.0045000000000000005,0.4327444444444444
BAKE/USDT:USDT,LONG,2025-09-10T11:00:00+00:00,2025-09-10T12:00:00+00:00,0.162,0.162,0.22423931223956758,0.162,SL,SL,0.0,-0.0052,2.25,0.0045000000000000005,-0.011699999999999999
BAKE/USDT:USDT,LONG,2025-09-10T12:00:00+00:00,2025-09-10T12:24:00+00:00,0.1607,0.15554740423558175,0.2149378501517711,0.15554740423558175,SL,SL,-0.03206344595157598,-0.037263445951575984,4.5,0.009000000000000001,-0.16768550678209193
HIFI/USDT:USDT,LONG,2025-09-10T10:57:00+00:00,2025-09-10T12:30:00+00:00,0.08719,0.08446973418652544,0.11582437698394274,0.08446973418652544,SL,SL,-0.0311992867699801,-0.0363992867699801,4.5,0.009000000000000001,-0.16379679046491047
BAKE/USDT:USDT,LONG,2025-09-10T12:24:00+00:00,2025-09-10T12:30:00+00:00,0.149,0.14409736354807848,0.20060669949391075,0.14409736354807848,SL,SL,-0.03290360034846655,-0.038103600348466556,4.5,0.009000000000000001,-0.1714662015680995
BSW/USDT:USDT,LONG,2025-09-10T11:00:00+00:00,2025-09-10T12:33:00+00:00,0.02417,0.023335198380651487,0.03295738546682647,0.023335198380651487,SL,SL,-0.03453875131768776,-0.03973875131768776,4.5,0.009000000000000001,-0.17882438092959493
