symbol,bars,equity_end_realized,realized_pnl,return_pct,trades,win_rate_pct,profit_factor,mdd_realized_pct,mdd_mtm_pct
COTI/USDT:USDT,500,100.32001286510045,0.3200128651004519,0.3200128651004608,43,100.0,0.0,0.0,-1.294530120027192
DOT/USDC:USDC,500,100.31976937373152,0.3197693737315177,0.3197693737315266,34,100.0,0.0,0.0,-1.6592327844292258
ZRO/USDT:USDT,500,100.31914810599028,0.3191481059902799,0.31914810599027454,35,100.0,0.0,0.0,-1.7881303805122823
AVAX/USDT:USDT,500,100.31865559173096,0.31865559173095903,0.31865559173096525,31,100.0,0.0,0.0,-1.529628723057527
XLM/USDC:USDC,500,100.3185550720567,0.31855507205669653,0.3185550720566921,31,100.0,0.0,0.0,-1.2863320629713844
ORCA/USDT:USDT,500,100.31778556915035,0.3177855691503453,0.31778556915034173,34,100.0,0.0,0.0,-2.374520591137346
TIA/USDC:USDC,500,100.31762046887992,0.3176204688799231,0.3176204688799311,30,100.0,0.0,0.0,-3.0511255265983075
SOL/USDT:USDT,500,100.31616765741687,0.3161676574168695,0.3161676574168659,30,100.0,0.0,0.0,-2.6714359718865786
ID/USDT:USDT,500,100.31593860461973,0.3159386046197312,0.31593860461973655,28,100.0,0.0,0.0,-1.074070981190279
XLM/USDT:USDT,500,100.31587228665329,0.31587228665328837,0.3158722866532848,30,100.0,0.0,0.0,-1.002102653208873
RLC/USDT:USDT,500,100.31566504044785,0.31566504044785404,0.3156650404478434,37,100.0,0.0,0.0,-2.034411096136439
HYPE/USDT:USDT,500,100.315423300861,0.31542330086099923,0.31542330086100634,42,100.0,0.0,0.0,-1.525713553746196
MLN/USDT:USDT,500,100.31426004268201,0.31426004268200813,0.3142600426820019,40,100.0,0.0,0.0,-0.7327373627802793
GALA/USDT:USDT,500,100.31375230915583,0.31375230915583074,0.31375230915582364,35,100.0,0.0,0.0,-3.661087050085431
TAO/USDT:USDT,500,100.31366542256295,0.3136654225629485,0.3136654225629476,34,100.0,0.0,0.0,-1.6381857665241533
NEAR/USDT:USDT,500,100.31351274746073,0.31351274746073443,0.3135127474607424,33,100.0,0.0,0.0,-1.607169323907975
EPIC/USDT:USDT,500,100.31248717080145,0.3124871708014467,0.3124871708014565,39,100.0,0.0,0.0,-1.2798669744246967
SHELL/USDT:USDT,500,100.31132748710927,0.31132748710926705,0.3113274871092697,40,100.0,0.0,0.0,-1.4370431174784488
NXPC/USDT:USDT,500,100.31094320957834,0.31094320957834043,0.31094320957834043,22,100.0,0.0,0.0,-0.6429267300978736
AXL/USDT:USDT,500,100.31084981969555,0.31084981969554804,0.3108498196955578,33,100.0,0.0,0.0,-1.3343259476864693
IDOL/USDT:USDT,500,100.31011869482484,0.3101186948248369,0.3101186948248458,31,100.0,0.0,0.0,-0.7401165735133045
KAITO/USDT:USDT,500,100.3098510754521,0.30985107545210155,0.30985107545209445,35,100.0,0.0,0.0,-1.5920181714786528
AIN/USDT:USDT,500,100.30845596547886,0.30845596547885634,0.3084559654788599,33,100.0,0.0,0.0,-1.9502007849684895
TIA/USDT:USDT,500,100.30672252006362,0.3067225200636159,0.306722520063607,30,100.0,0.0,0.0,-3.0584889760944347
ATA/USDT:USDT,500,100.30668050684629,0.3066805068462912,0.3066805068463019,37,100.0,0.0,0.0,-1.9018869171527768
SLERF/USDT:USDT,500,100.30548898155091,0.30548898155090853,0.3054889815509165,29,100.0,0.0,0.0,-2.6500859762529934
LPT/USDT:USDT,500,100.30476770125212,0.3047677012521177,0.3047677012521177,37,100.0,0.0,0.0,-1.7804069999498926
BIGTIME/USDT:USDT,500,100.30344179282686,0.30344179282685957,0.303441792826864,35,100.0,0.0,0.0,-1.2711707674550254
USUAL/USDT:USDT,500,100.30267829849417,0.3026782984941718,0.3026782984941745,39,100.0,0.0,0.0,-4.11520189035739
SYRUP/USDT:USDT,500,100.30112000716387,0.301120007163874,0.30112000716386866,33,100.0,0.0,0.0,-1.662012753885345
IP/USDT:USDT,500,100.30017838101898,0.30017838101898064,0.3001783810189895,20,100.0,0.0,0.0,-1.2266802403798749
HBAR/USDC:USDC,500,100.29899653014907,0.29899653014906846,0.2989965301490649,35,100.0,0.0,0.0,-1.128920416197731
ACE/USDT:USDT,500,100.29817371246196,0.2981737124619599,0.2981737124619688,33,100.0,0.0,0.0,-1.7988030262112116
YFI/USDT:USDT,500,100.29752445073285,0.29752445073285116,0.2975244507328556,33,100.0,0.0,0.0,-1.9644085539595428
AXS/USDT:USDT,500,100.29736670632413,0.29736670632412654,0.2973667063241203,35,100.0,0.0,0.0,-1.8183468931934992
AVAX/USDC:USDC,500,100.2953422955654,0.2953422955654048,0.2953422955654039,30,100.0,0.0,0.0,-1.5321312441807555
HBAR/USDT:USDT,500,100.2953224250674,0.2953224250673969,0.29532242506740136,36,100.0,0.0,0.0,-1.1199853869483674
ARPA/USDT:USDT,500,100.29433930015585,0.29433930015585474,0.29433930015585474,26,100.0,0.0,0.0,-1.1610504245943787
